"EQUIPO","TEAM","Jornada","POS","PosesionesTEAM","OER","DER","NET","eFG","ORB","AST","TOV","PPP","PTS","T1A","T1I","T1P","T2A","T2I","T2P","T3A","T3I","T3P","FC","FR","ASIS","PER","REC","MAT","OREB","DREB","TREB","RESULTAT","RIVAL","Rival_idR","TEAM_id"
1,"AZULMARINO MALLORCA PALMA","J1",71.74,71,115.7,73.88,41.82,57.89,42.31,11.76,23.7,97.65,83,17,25,68,27,43,62.79,4,14,28.57,24,23,10,17,4,1,11,34,45,"W","OSES CONSTRUCCION",979971,981213
1,"AZULMARINO MALLORCA PALMA","J2",78.38,78.1,89.31,65.07,24.24,36.99,39.62,19.55,21.69,68.41,70,16,28,57.14,15,42,35.71,8,31,25.81,22,23,20,17,7,0,21,36,57,"W","CELTA  FEMXA ZORKA",981492,981213
1,"AZULMARINO MALLORCA PALMA","J3",73.02,70.6,76.69,73.95,2.74,35.19,14.29,8.91,19.17,71.28,56,18,24,75,16,37,43.24,2,17,11.76,18,22,7,14,4,0,5,35,40,"W","VEGA LAGUNERA TOYOTA  ADAREVA TENERIFE",979952,981213
1,"AZULMARINO MALLORCA PALMA","J4",76,71.8,115.79,60.53,55.26,53.39,37.84,18.01,18.42,99.05,88,25,36,69.44,21,36,58.33,7,23,30.43,19,27,16,14,11,0,14,24,38,"W","LA CORDÁ DE PATERNA NB",981346,981213
1,"AZULMARINO MALLORCA PALMA","J5",74.2,74.5,118.6,79.51,39.08,58.47,28,7.1,20.22,104.07,88,19,24,79.17,21,39,53.85,9,20,45,20,24,6,15,12,0,7,28,35,"W","DOMUSA TEKNIK ISB",979912,981213
1,"AZULMARINO MALLORCA PALMA","J6",76,73.8,107.89,81.58,26.32,50.78,28.95,31.86,15.79,93.31,82,17,27,62.96,22,38,57.89,7,26,26.92,19,21,28,12,8,0,11,26,37,"W","C.B. SANTFELIUENC",981242,981213
1,"AZULMARINO MALLORCA PALMA","J7",66.58,70.1,145.69,75.1,70.59,63.28,39.29,30.95,13.52,115.48,97,16,25,64,27,43,62.79,9,21,42.86,19,24,26,9,8,3,11,33,44,"W","BOSONIT UNIBASKET",981356,981213
1,"AZULMARINO MALLORCA PALMA","J8",72.94,72.2,101.45,83.63,17.82,45.07,25,18.79,10.97,86.9,74,10,14,71.43,20,48,41.67,8,23,34.78,16,16,16,8,12,0,10,26,36,"W","UNICAJA MIJAS",981334,981213
1,"AZULMARINO MALLORCA PALMA","J9",73.02,72.4,112.3,82.17,30.13,50.82,34.62,21.32,16.43,97.11,82,20,26,76.92,22,38,57.89,6,23,26.09,18,25,18,12,11,2,9,27,36,"W","CAJASOL BALONCESTO SEVILLA FEMENINO",981306,981213
1,"AZULMARINO MALLORCA PALMA","J10",77.18,77.8,129.57,89.4,40.17,66.13,34.48,36.26,23.32,109.89,100,18,25,72,26,38,68.42,10,24,41.67,21,21,33,18,6,0,10,26,36,"W","MCR LIMA-HORTA BARCELONA",981206,981213
1,"AZULMARINO MALLORCA PALMA","J11",74.88,70.2,96.15,85.47,10.68,45.28,28.12,21.93,20.03,87.72,72,24,32,75,21,36,58.33,2,17,11.76,20,26,18,15,8,0,9,24,33,"W","RECOLETAS ZAMORA",979919,981213
1,"AZULMARINO MALLORCA PALMA","J12",74.52,73.9,99.3,69.78,29.52,51.89,30.77,17.65,28.18,87.06,74,19,25,76,17,31,54.84,7,22,31.82,23,18,15,21,7,2,8,33,41,"W","ALTER ENERSUN AL-QÁZERES EXTREMADURA",981208,981213
1,"AZULMARINO MALLORCA PALMA","J13",77.52,81.7,104.49,77.4,27.09,54.69,28.12,25.5,25.8,86.06,81,11,23,47.83,23,37,62.16,8,27,29.63,19,22,24,20,14,0,9,27,36,"W","MELILLA CIUDAD DEL DEPORTE LA SALLE",979770,981213
1,"AZULMARINO MALLORCA PALMA","J14",75.38,70.9,108.78,82.25,26.53,52.08,48.72,20.47,21.23,88.32,82,7,11,63.64,24,48,50,9,24,37.5,21,13,19,16,8,0,19,31,50,"W","SERNOVA RENOVABLES REAL CANOE",981288,981213
1,"AZULMARINO MALLORCA PALMA","J15",76.82,75.6,101.54,70.29,31.24,50,27.03,29.31,18.22,87.92,78,9,13,69.23,24,47,51.06,7,22,31.82,18,16,26,14,9,0,10,29,39,"W","FUSTECMA NBF CASTELLÓ",979988,981213
2,"CELTA  FEMXA ZORKA","J1",78.78,76.3,105.36,77.43,27.93,52.31,13.89,18.95,10.15,98.29,83,15,26,57.69,25,47,53.19,6,18,33.33,19,23,16,8,15,0,5,27,32,"W","CAJASOL BALONCESTO SEVILLA FEMENINO",981306,981492
2,"CELTA  FEMXA ZORKA","J2",78.38,81.1,65.07,89.31,-24.24,28.47,23.08,14.52,16.59,52.88,51,10,26,38.46,16,52,30.77,3,20,15,23,22,14,13,11,0,12,26,38,"L","AZULMARINO MALLORCA PALMA",981213,981492
2,"CELTA  FEMXA ZORKA","J3",73.68,69.7,107.22,105.86,1.36,53.08,36.11,21.03,19,92.29,79,10,15,66.67,24,43,55.81,7,22,31.82,26,22,18,14,11,0,13,16,29,"W","RECOLETAS ZAMORA",979919,981492
2,"CELTA  FEMXA ZORKA","J4",75.58,73.6,88.65,76.74,11.91,42.62,16.67,13.47,14.55,82.03,67,15,22,68.18,20,49,40.82,4,12,33.33,22,20,11,11,5,1,5,29,34,"W","ALTER ENERSUN AL-QÁZERES EXTREMADURA",981208,981492
2,"CELTA  FEMXA ZORKA","J5",68.98,77.1,110.18,101.48,8.7,44.37,13.16,15.23,8.7,89.03,76,13,19,68.42,18,46,39.13,9,25,36,19,24,13,6,10,0,5,23,28,"W","MELILLA CIUDAD DEL DEPORTE LA SALLE",979770,981492
2,"CELTA  FEMXA ZORKA","J6",80.48,80.3,103.13,78.28,24.85,52.86,33.33,16.91,22.37,87.74,83,9,15,60,28,51,54.9,6,19,31.58,17,14,16,18,16,0,11,24,35,"W","SERNOVA RENOVABLES REAL CANOE",981288,981492
2,"CELTA  FEMXA ZORKA","J7",67.02,66,91.02,67.14,23.87,38.18,34.29,18.57,19.4,75.53,61,19,29,65.52,21,43,48.84,0,12,0,17,20,15,13,9,0,12,23,35,"W","FUSTECMA NBF CASTELLÓ",979988,981492
2,"CELTA  FEMXA ZORKA","J8",72.72,74,90.76,85.26,5.5,36.07,27.91,7.86,19.25,74.09,66,22,32,68.75,16,40,40,4,21,19.05,25,23,7,14,7,0,12,28,40,"W","OSES CONSTRUCCION",979971,981492
2,"CELTA  FEMXA ZORKA","J9",81.82,79.7,103.89,85.55,18.33,56.15,28.12,22.82,24.44,92.35,85,12,16,75,26,44,59.09,7,21,33.33,18,17,21,20,11,0,9,26,35,"W","MCR LIMA-HORTA BARCELONA",981206,981492
2,"CELTA  FEMXA ZORKA","J10",64.02,58.4,95.28,64.04,31.24,47.41,37.5,23.34,15.62,83.75,61,6,11,54.55,20,37,54.05,5,21,23.81,15,13,17,10,11,0,12,26,38,"W","LA LAGUNA TOYOTA  ADAREVA",979952,981492
2,"CELTA  FEMXA ZORKA","J11",68.58,66.8,102.07,87.49,14.58,40.44,48.84,16.56,17.5,77.3,70,15,24,62.5,20,48,41.67,5,20,25,14,23,15,12,8,0,21,24,45,"W","LA CORDÁ DE PATERNA NB",981346,981492
2,"CELTA  FEMXA ZORKA","J12",74.08,67.9,99.89,76.94,22.95,48.31,22.58,24.46,12.15,95.26,74,17,22,77.27,21,39,53.85,5,20,25,16,20,19,9,15,0,7,25,32,"W","DOMUSA TEKNIK ISB",979912,981492
2,"CELTA  FEMXA ZORKA","J13",80.1,80,97.38,84.89,12.48,44.52,26.19,21.2,16.23,82.66,78,13,19,68.42,25,56,44.64,5,17,29.41,13,17,20,13,12,0,11,28,39,"W","C.B. SANTFELIUENC",981242,981492
2,"CELTA  FEMXA ZORKA","J14",75.02,73.2,102.64,81.31,21.33,50.86,32.35,25.23,21.33,88.3,77,18,30,60,22,41,53.66,5,17,29.41,14,22,22,16,13,0,11,19,30,"W","BOSONIT UNIBASKET",981356,981492
2,"CELTA  FEMXA ZORKA","J15",69.34,65.3,105.28,96.63,8.65,54.81,31.25,16.67,21.63,93.59,73,16,25,64,21,40,52.5,5,12,41.67,18,17,13,15,8,0,10,24,34,"W","UNICAJA MIJAS",981334,981492
3,"UNICAJA MIJAS","J1",68.66,66.5,97.58,96.13,1.46,49.17,26.47,11.5,18.93,85.59,67,8,12,66.67,22,42,52.38,5,18,27.78,21,19,9,13,5,0,9,23,32,"W","VEGA LAGUNERA TOYOTA  ADAREVA TENERIFE",979952,981334
3,"UNICAJA MIJAS","J2",75.16,72.1,123.74,102.45,21.29,59.68,36.36,26.4,19.96,106.75,93,19,23,82.61,19,39,48.72,12,23,52.17,24,21,23,15,10,0,12,25,37,"W","LA CORDÁ DE PATERNA NB",981346,981334
3,"UNICAJA MIJAS","J3",74.6,73.2,79.09,68.36,10.72,39.39,34.88,12.05,26.81,64.64,59,7,12,58.33,17,39,43.59,6,27,22.22,20,19,11,20,8,0,15,33,48,"W","DOMUSA TEKNIK ISB",979912,981334
3,"UNICAJA MIJAS","J4",75.7,72.8,128.14,77.94,50.2,57.86,36.36,29.61,11.89,110.48,97,16,20,80,18,38,47.37,15,32,46.88,16,19,26,9,9,0,12,32,44,"W","C.B. SANTFELIUENC",981242,981334
3,"UNICAJA MIJAS","J5",66.54,65.4,73.64,115.72,-42.08,31.06,32.61,15.63,16.53,58.92,49,8,14,57.14,10,36,27.78,7,30,23.33,21,18,13,11,4,0,15,27,42,"L","BOSONIT UNIBASKET",981356,981334
3,"UNICAJA MIJAS","J6",77.56,76.1,116.04,60.6,55.44,50.62,50,23.7,20.63,88.86,90,9,12,75,24,42,57.14,11,38,28.95,17,14,24,16,16,0,22,24,46,"W","MCR LIMA-HORTA BARCELONA",981206,981334
3,"UNICAJA MIJAS","J7",77.96,78.6,128.27,75.68,52.59,53.21,52.27,18.12,19.24,95.35,100,17,27,62.96,19,43,44.19,15,35,42.86,22,26,19,15,12,0,23,26,49,"W","CAJASOL BALONCESTO SEVILLA FEMENINO",981306,981334
3,"UNICAJA MIJAS","J8",72.94,72.7,83.63,101.45,-17.82,37.12,32.5,15.78,23.31,68.76,61,12,13,92.31,17,41,41.46,5,25,20,16,16,14,17,3,0,13,26,39,"L","AZULMARINO MALLORCA PALMA",981213,981334
3,"UNICAJA MIJAS","J9",69.05,75.6,110.07,98.48,11.59,43.66,35.71,13.86,20.28,81.02,76,14,20,70,22,46,47.83,6,25,24,22,24,13,14,5,0,15,30,45,"W","RECOLETAS ZAMORA",979919,981334
3,"UNICAJA MIJAS","J10",69.84,65.7,98.8,81.62,17.18,52.54,35.48,15.11,22.91,86.9,69,7,10,70,19,36,52.78,8,23,34.78,16,15,12,16,3,0,11,36,47,"W","ALTER ENERSUN AL-QÁZERES EXTREMADURA",981208,981334
3,"UNICAJA MIJAS","J11",70.24,69.2,118.17,112.47,5.69,43.66,51.35,16.46,14.24,91.09,83,21,23,91.3,22,45,48.89,6,26,23.08,21,20,15,10,9,0,19,19,38,"W","MELILLA CIUDAD DEL DEPORTE LA SALLE",979770,981334
3,"UNICAJA MIJAS","J12",70.88,66.9,94.53,84.65,9.88,45.97,33.33,14.87,18.34,83,67,10,13,76.92,18,36,50,7,26,26.92,20,17,12,13,9,0,11,26,37,"W","SERNOVA RENOVABLES REAL CANOE",981288,981334
3,"UNICAJA MIJAS","J13",75.96,72.2,101.37,90.84,10.53,46.88,45.95,16.26,25.01,83.48,77,17,21,80.95,18,37,48.65,8,27,29.63,21,20,15,19,7,0,17,21,38,"W","FUSTECMA NBF CASTELLÓ",979988,981334
3,"UNICAJA MIJAS","J14",79.78,77.9,85.23,68.94,16.29,42.25,30.23,19.12,21.31,72.22,68,8,14,57.14,21,42,50,6,29,20.69,15,17,18,17,7,0,13,35,48,"W","OSES CONSTRUCCION",979971,981334
3,"UNICAJA MIJAS","J15",69.34,70.7,96.63,105.28,-8.65,42.86,32.5,12.69,20.19,77.3,67,13,22,59.09,12,30,40,10,33,30.3,17,18,11,14,7,0,13,21,34,"L","CELTA  FEMXA ZORKA",981492,981334
4,"OSES CONSTRUCCION","J1",71.74,66.7,73.88,115.7,-41.82,35.83,12.5,12.08,9.76,71.16,53,10,17,58.82,14,34,41.18,5,26,19.23,23,24,9,7,8,0,5,15,20,"L","AZULMARINO MALLORCA PALMA",981213,979971
4,"OSES CONSTRUCCION","J2",76.08,70.1,103.84,93.32,10.52,53.28,21.21,16.24,15.77,98.7,79,14,16,87.5,19,38,50,9,23,39.13,21,21,13,12,7,0,7,25,32,"W","RECOLETAS ZAMORA",979919,979971
4,"OSES CONSTRUCCION","J3",69.66,65.9,122.02,76.08,45.94,63.56,24,21.45,12.92,113.94,85,10,15,66.67,18,34,52.94,13,25,52,17,14,16,9,15,0,6,23,29,"W","ALTER ENERSUN AL-QÁZERES EXTREMADURA",981208,979971
4,"OSES CONSTRUCCION","J4",67.46,66.2,77.08,103.77,-26.68,33.33,27.27,12.36,14.82,64.26,52,10,18,55.56,12,30,40,6,33,18.18,20,22,10,10,10,0,12,20,32,"L","MELILLA CIUDAD DEL DEPORTE LA SALLE",979770,979971
4,"OSES CONSTRUCCION","J5",69.32,69,96.65,83.67,12.98,46.83,25.81,21.29,17.31,83.92,67,8,11,72.73,19,39,48.72,7,24,29.17,20,16,17,12,11,0,8,21,29,"W","SERNOVA RENOVABLES REAL CANOE",981288,979971
4,"OSES CONSTRUCCION","J6",67.04,67.2,93.97,90.99,2.98,48.18,33.33,15.38,23.87,80.73,63,10,16,62.5,19,38,50,5,17,29.41,19,17,12,16,7,0,8,26,34,"W","FUSTECMA NBF CASTELLÓ",979988,979971
4,"OSES CONSTRUCCION","J7",71.04,69.2,130.91,78.83,52.08,62.5,32.26,29.23,16.89,113.25,93,18,23,78.26,12,26,46.15,17,34,50,15,20,24,12,8,0,10,28,38,"W","MCR LIMA-HORTA BARCELONA",981206,979971
4,"OSES CONSTRUCCION","J8",72.72,67.5,85.26,90.76,-5.5,39.06,31.82,13.04,16.5,73.49,62,12,19,63.16,16,35,45.71,6,29,20.69,24,25,11,12,9,0,14,31,45,"L","CELTA  FEMXA ZORKA",981492,979971
4,"OSES CONSTRUCCION","J9",68.5,66.9,100.73,97.81,2.92,49.17,14.71,13.38,13.14,92.34,69,10,13,76.92,19,36,52.78,7,24,29.17,14,16,10,9,12,0,5,19,24,"W","LA LAGUNA TOYOTA  ADAREVA",979952,979971
4,"OSES CONSTRUCCION","J10",73.22,68.9,84.68,66.92,17.75,43.55,26.32,19.58,19.12,75.87,62,8,13,61.54,18,37,48.65,6,25,24,14,18,16,14,10,0,10,26,36,"W","LA CORDÁ DE PATERNA NB",981346,979971
4,"OSES CONSTRUCCION","J11",70.74,69.9,84.82,73.51,11.31,41.82,13.89,14.14,19.79,77.12,60,14,20,70,8,25,32,10,30,33.33,18,19,11,14,7,0,5,34,39,"W","DOMUSA TEKNIK ISB",979912,979971
4,"OSES CONSTRUCCION","J12",74.38,73.7,110.24,91.42,18.82,50.68,23.68,26.83,9.41,95.66,82,8,13,61.54,22,49,44.9,10,24,41.67,15,17,23,7,5,0,9,29,38,"W","C.B. SANTFELIUENC",981242,979971
4,"OSES CONSTRUCCION","J13",74.8,72.2,97.59,92.25,5.35,51.75,15.62,23.68,18.72,90.98,73,14,21,66.67,13,32,40.62,11,25,44,17,22,19,14,4,0,5,21,26,"W","BOSONIT UNIBASKET",981356,979971
4,"OSES CONSTRUCCION","J14",79.78,77.2,68.94,85.23,-16.29,35.51,8.51,16.59,13.79,65.17,55,6,10,60,20,43,46.51,3,26,11.54,17,15,14,11,11,0,4,28,32,"L","UNICAJA MIJAS",981334,979971
4,"OSES CONSTRUCCION","J15",73.12,72.3,109.41,97.1,12.31,56.9,24.32,16.6,19.15,94.88,80,14,28,50,12,28,42.86,14,30,46.67,18,23,14,14,10,0,9,23,32,"W","CAJASOL BALONCESTO SEVILLA FEMENINO",981306,979971
5,"MELILLA CIUDAD DEL DEPORTE LA SALLE","J1",79.28,76.6,78.2,70.64,7.57,42.97,18.6,17.08,23.97,70.58,62,7,11,63.64,20,36,55.56,5,28,17.86,18,15,15,19,7,0,8,32,40,"W","MCR LIMA-HORTA BARCELONA",981206,979770
5,"MELILLA CIUDAD DEL DEPORTE LA SALLE","J2",73.58,72.3,99.21,84.26,14.95,46.83,35,20.14,24.46,81.69,73,14,19,73.68,10,31,32.26,13,32,40.62,22,18,18,18,9,0,14,29,43,"W","SERNOVA RENOVABLES REAL CANOE",981288,979770
5,"MELILLA CIUDAD DEL DEPORTE LA SALLE","J3",71.12,70.8,89.99,61.87,28.12,48.18,17.86,15.24,25.31,81.3,64,11,13,84.62,16,33,48.48,7,22,31.82,14,19,12,18,8,0,5,32,37,"W","FUSTECMA NBF CASTELLÓ",979988,979770
5,"MELILLA CIUDAD DEL DEPORTE LA SALLE","J4",67.46,64.3,103.77,77.08,26.68,42.86,35.14,21.25,19.27,87.5,70,22,25,88,15,35,42.86,6,21,28.57,22,20,17,13,7,0,13,32,45,"W","OSES CONSTRUCCION",979971,979770
5,"MELILLA CIUDAD DEL DEPORTE LA SALLE","J5",68.98,73.8,101.48,110.18,-8.7,47.62,22.58,14.31,23.2,83.49,70,10,11,90.91,15,36,41.67,10,27,37.04,24,19,12,16,3,0,7,32,39,"L","CELTA  FEMXA ZORKA",981492,979770
5,"MELILLA CIUDAD DEL DEPORTE LA SALLE","J6",76.8,72.8,88.54,97.66,-9.11,45.97,12.2,22.28,13.02,84.16,68,11,20,55,15,37,40.54,9,25,36,21,20,18,10,6,1,5,26,31,"L","LA LAGUNA TOYOTA  ADAREVA",979952,979770
5,"MELILLA CIUDAD DEL DEPORTE LA SALLE","J7",69.6,70.5,114.94,86.21,28.74,51.54,25.71,24.25,14.37,96.99,80,13,17,76.47,20,34,58.82,9,31,29.03,18,19,20,10,10,0,9,23,32,"W","LA CORDÁ DE PATERNA NB",981346,979770
5,"MELILLA CIUDAD DEL DEPORTE LA SALLE","J8",74.52,72,100.64,83.2,17.44,60,29.03,17.85,29.52,89.24,75,9,16,56.25,12,27,44.44,14,28,50,23,14,15,22,8,0,9,35,44,"W","DOMUSA TEKNIK ISB",979912,979770
5,"MELILLA CIUDAD DEL DEPORTE LA SALLE","J9",74.94,74.1,102.75,70.72,32.03,51.52,44.12,28.21,26.69,83.55,77,9,14,64.29,16,37,43.24,12,29,41.38,16,19,26,20,11,0,15,26,41,"W","C.B. SANTFELIUENC",981242,979770
5,"MELILLA CIUDAD DEL DEPORTE LA SALLE","J10",75.2,75.3,90.43,86.44,3.99,41.41,21.62,13.88,19.95,78.63,68,15,17,88.24,16,41,39.02,7,23,30.43,21,21,12,15,7,0,8,24,32,"W","BOSONIT UNIBASKET",981356,979770
5,"MELILLA CIUDAD DEL DEPORTE LA SALLE","J11",70.24,69.5,112.47,118.17,-5.69,53.45,24.14,20.16,18.51,99.55,79,17,19,89.47,16,31,51.61,10,27,37.04,20,21,16,13,6,0,7,16,23,"L","UNICAJA MIJAS",981334,979770
5,"MELILLA CIUDAD DEL DEPORTE LA SALLE","J12",69.46,66.9,129.57,92.14,37.43,56.06,54.55,21.67,17.28,102.65,90,16,22,72.73,22,37,59.46,10,29,34.48,20,20,19,12,11,0,18,23,41,"W","CAJASOL BALONCESTO SEVILLA FEMENINO",981306,979770
5,"MELILLA CIUDAD DEL DEPORTE LA SALLE","J13",77.52,72.9,77.4,104.49,-27.09,38.71,26.83,11.5,21.93,69.03,60,12,18,66.67,18,37,48.65,4,25,16,22,19,10,17,14,0,11,15,26,"L","AZULMARINO MALLORCA PALMA",981213,979770
5,"MELILLA CIUDAD DEL DEPORTE LA SALLE","J14",71.02,69.5,78.85,101.38,-22.53,37.5,36.11,11.72,29.57,65.6,56,14,19,73.68,15,35,42.86,4,21,19.05,21,22,10,21,5,0,13,25,38,"L","RECOLETAS ZAMORA",979919,979770
5,"MELILLA CIUDAD DEL DEPORTE LA SALLE","J15",74.6,72.1,92.49,76.41,16.09,42.5,17.95,17.05,16.09,84.02,69,18,23,78.26,15,40,37.5,7,20,35,25,19,14,12,7,0,7,35,42,"W","ALTER ENERSUN AL-QÁZERES EXTREMADURA",981208,979770
6,"RECOLETAS ZAMORA","J1",69.64,66.5,97.65,80.41,17.23,42.31,24.24,10.35,18.67,87.95,68,24,28,85.71,16,38,42.11,4,14,28.57,20,22,8,13,8,0,8,24,32,"W","FUSTECMA NBF CASTELLÓ",979988,979919
6,"RECOLETAS ZAMORA","J2",76.08,76.9,93.32,103.84,-10.52,45,14.29,10.57,19.72,83.41,71,17,23,73.91,18,32,56.25,6,28,21.43,21,21,9,15,6,0,5,26,31,"L","OSES CONSTRUCCION",979971,979919
6,"RECOLETAS ZAMORA","J3",73.68,72.7,105.86,107.22,-1.36,51.82,33.33,7.08,23.07,92.02,78,21,29,72.41,18,38,47.37,7,17,41.18,22,26,6,17,10,0,9,23,32,"L","CELTA  FEMXA ZORKA",981492,979919
6,"RECOLETAS ZAMORA","J4",77.8,74,84.83,92.54,-7.71,37.7,10.53,11.09,12.85,81.36,66,20,23,86.96,20,42,47.62,2,19,10.53,24,20,9,10,11,0,4,20,24,"L","VEGA LAGUNERA TOYOTA  ADAREVA TENERIFE",979952,979919
6,"RECOLETAS ZAMORA","J5",80.46,78.8,98.19,75.81,22.37,41.43,28.89,19.98,13.67,83.09,79,21,32,65.62,20,48,41.67,6,22,27.27,16,24,19,11,18,0,13,24,37,"W","LA CORDÁ DE PATERNA NB",981346,979919
